question,option_a,option_b,option_c,option_d,correct_option,subject,difficulty
What is the difference between Cp and Cv for an ideal gas?,0,R,2R,R/2,B,Chemistry,Hard
The rate of a reaction increases by a factor of 8 when the concentration of a reactant is doubled. What is the order?,1,2,3,4,C,Chemistry,Hard
Which plot yields a straight line for a first-order reaction?,[A] vs t,1/[A] vs t,ln[A] vs t,[A]^2 vs t,C,Chemistry,Hard
"In a 0.1 M solution of H3PO4, which species has the lowest concentration?",H3PO4,H2PO4 -,HPO4 2-,PO4 3-,D,Chemistry,Hard
What is the cell potential of a concentration cell consisting of two hydrogen electrodes at pH 1 and pH 5 at 298K?,0.00 V,0.059 V,0.118 V,0.236 V,D,Chemistry,Hard
Which reducing agent is specific enough to reduce an ester to an aldehyde at low temperatures?,LiAlH4,NaBH4,DIBAL-H,H2/Pd,C,Chemistry,Hard
The reaction of a primary amide with P4O10 produces a:,Nitrile,Primary amine,Carboxylic acid,Ester,A,Chemistry,Hard
Which carbohydrate yields both glucose and galactose upon hydrolysis?,Maltose,Sucrose,Lactose,Cellulose,C,Chemistry,Hard
What is the number of radial nodes in a 4d orbital?,0,1,2,3,B,Chemistry,Hard
Which molecule is described as having fluxional behavior at room temperature?,PF5,SF6,CH4,H2O,A,Chemistry,Hard
What is the crystal field stabilization energy (CFSE) for a high-spin d5 complex in an octahedral field?,0 Delta_o,-0.4 Delta_o,-1.2 Delta_o,-2.0 Delta_o,A,Chemistry,Hard
"In collision theory, the steric factor (p) accounts for:",Activation energy,Temperature,The orientation of colliding molecules,Gas pressure,C,Chemistry,Hard
The integrated rate law for a second order reaction (1 reactant) is:,[A] = [A]0 - kt,ln[A] = ln[A]0 - kt,1/[A] = 1/[A]0 + kt,[A] = [A]0 exp(-kt),C,Chemistry,Hard
At what pH is the concentration of a weak acid equal to its conjugate base?,pH = 7,pH = pKa,pH = pKb,pH = 14 - pKa,B,Chemistry,Hard
What is the predominant form of glycine at pH 1?,Cation,Anion,Zwitterion,Neutral uncharged,A,Chemistry,Hard
Aromatic electrophilic substitution on nitrobenzene is:,Ortho-para directing and activating,Meta directing and deactivating,Ortho-para directing and deactivating,Meta directing and activating,B,Chemistry,Hard
Which particle determines the atomic number of an element?,Neutron,Electron shell,Proton,Photon,C,Chemistry,Easy
Which subatomic particle has approximately zero electric charge?,Proton,Positron,Electron,Neutron,D,Chemistry,Easy
Which bond commonly forms after electron transfer between a metal and a non-metal?,Hydrogen bond,Glycosidic bond,Ionic bond,Peptide bond,C,Chemistry,Easy
"At 25 °C, a solution of pH 7 is described as:",Strongly alkaline,Neutral,Always saturated,Strongly acidic,B,Chemistry,Easy
A sample has mass 20 g and molar mass 40 g mol⁻¹. How many moles does it contain?,800 mol,2 mol,0.5 mol,60 mol,C,Chemistry,Medium
A sample has mass 49 g and molar mass 98 g mol⁻¹. How many moles does it contain?,2 mol,0.5 mol,147 mol,4802 mol,B,Chemistry,Medium
A sample has mass 16 g and molar mass 32 g mol⁻¹. How many moles does it contain?,48 mol,2 mol,512 mol,0.5 mol,D,Chemistry,Medium
A sample has mass 34 g and molar mass 17 g mol⁻¹. How many moles does it contain?,0.5 mol,51 mol,2 mol,578 mol,C,Chemistry,Medium
A sample has mass 71 g and molar mass 142 g mol⁻¹. How many moles does it contain?,10082 mol,2 mol,213 mol,0.5 mol,D,Chemistry,Medium
A sample has mass 12 g and molar mass 24 g mol⁻¹. How many moles does it contain?,36 mol,2 mol,0.5 mol,288 mol,C,Chemistry,Medium
A sample has mass 25 g and molar mass 50 g mol⁻¹. How many moles does it contain?,0.5 mol,1250 mol,2 mol,75 mol,A,Chemistry,Medium
A sample has mass 27 g and molar mass 54 g mol⁻¹. How many moles does it contain?,2 mol,1458 mol,0.5 mol,81 mol,C,Chemistry,Medium
A sample has mass 10 g and molar mass 20 g mol⁻¹. How many moles does it contain?,200 mol,30 mol,2 mol,0.5 mol,D,Chemistry,Medium
A solution contains 0.2 mol of solute in 0.5 dm³. What is its concentration?,0.7 mol dm⁻³,0.1 mol dm⁻³,0.4 mol dm⁻³,2.5 mol dm⁻³,C,Chemistry,Medium
A solution contains 0.3 mol of solute in 0.6 dm³. What is its concentration?,0.9 mol dm⁻³,2 mol dm⁻³,0.5 mol dm⁻³,0.18 mol dm⁻³,C,Chemistry,Medium
A solution contains 0.4 mol of solute in 0.2 dm³. What is its concentration?,0.08 mol dm⁻³,2 mol dm⁻³,0.6 mol dm⁻³,0.5 mol dm⁻³,B,Chemistry,Medium
A solution contains 0.5 mol of solute in 0.25 dm³. What is its concentration?,0.75 mol dm⁻³,2 mol dm⁻³,0.125 mol dm⁻³,0.5 mol dm⁻³,B,Chemistry,Medium
A solution contains 0.6 mol of solute in 0.3 dm³. What is its concentration?,0.9 mol dm⁻³,0.18 mol dm⁻³,0.5 mol dm⁻³,2 mol dm⁻³,D,Chemistry,Medium
A solution contains 0.8 mol of solute in 0.4 dm³. What is its concentration?,0.5 mol dm⁻³,1.2 mol dm⁻³,2 mol dm⁻³,0.32 mol dm⁻³,C,Chemistry,Medium
A solution contains 0.9 mol of solute in 0.3 dm³. What is its concentration?,3 mol dm⁻³,1.2 mol dm⁻³,0.333333 mol dm⁻³,0.27 mol dm⁻³,A,Chemistry,Medium
A solution contains 1.2 mol of solute in 0.6 dm³. What is its concentration?,0.5 mol dm⁻³,0.72 mol dm⁻³,2 mol dm⁻³,1.8 mol dm⁻³,C,Chemistry,Medium
A solution contains 1.5 mol of solute in 0.5 dm³. What is its concentration?,2 mol dm⁻³,0.75 mol dm⁻³,3 mol dm⁻³,0.333333 mol dm⁻³,C,Chemistry,Medium
A solution contains 2 mol of solute in 0.8 dm³. What is its concentration?,1.6 mol dm⁻³,0.4 mol dm⁻³,2.8 mol dm⁻³,2.5 mol dm⁻³,D,Chemistry,Medium
Which species is oxidized in Zn + Cu²⁺ → Zn²⁺ + Cu?,Zn,Cu²⁺,Zn²⁺,Cu,A,Chemistry,Medium
"What is the oxidation state of sulfur in sulfate, SO₄²⁻?",+6,+2,-2,+4,A,Chemistry,Medium
How many electrons can occupy a p subshell?,2,10,6,8,C,Chemistry,Medium
"Across a period, atomic radius generally:",Stays exactly constant,Becomes zero,Increases,Decreases,D,Chemistry,Medium
"Down Group 1, first ionization energy generally:",Stays constant,Doubles,Increases,Decreases,D,Chemistry,Medium
Which formula represents an alkene?,C₂H₄,C₃H₈,C₂H₆,CH₄,A,Chemistry,Medium
Which functional group is present in ethanol?,Carboxyl,Amide,Aldehyde,Hydroxyl,D,Chemistry,Medium
Ethene reacts with bromine mainly by which type of reaction?,Neutralization,Addition,Condensation,Substitution,B,Chemistry,Medium
A strong acid in water is characterized by:,Always high concentration,Zero ionization,Essentially complete ionization,Inability to react with bases,C,Chemistry,Medium
Which gas is formed when an acid reacts with a carbonate?,Oxygen,Hydrogen,Carbon dioxide,Nitrogen,C,Chemistry,Medium
Which reagent gives a white precipitate with sulfate ions in acidified solution?,Silver nitrate solution,Barium chloride solution,Sodium hydroxide solution,Bromine water,B,Chemistry,Medium
"For 2H₂ + O₂ → 2H₂O, how many moles of O₂ are needed for 5 mol H₂?",10 mol,5 mol,2.5 mol,1 mol,C,Chemistry,Hard
"What is the pH of 0.001 mol dm⁻³ HCl, assuming complete ionization?",7,1,11,3,D,Chemistry,Hard
"For an endothermic forward reaction, increasing temperature generally causes K to:",Increase,Become zero,Decrease,Remain necessarily unchanged,A,Chemistry,Hard
"A compound is 40.0% C, 6.7% H and 53.3% O by mass. Its empirical formula is:",C₂H₄O₂,CH₂O,CH₄O,CHO,B,Chemistry,Hard
"If all cats are mammals and some mammals are pets, which statement must be true?",All cats are pets,Some cats are pets,Some pets are mammals,No cats are pets,C,Logical Reasoning,Easy
"Find the next number in the series: 2, 6, 12, 20, 30...",40,42,44,46,B,Logical Reasoning,Easy
"If 'APPLE' is coded as 'BQQMF', how is 'MANGO' coded?",NBOHP,NBMHP,NCPHQ,OAPIP,A,Logical Reasoning,Easy
"John walks 5 km North, turns right and walks 3 km, turns right again and walks 5 km. How far is he from the starting point?",3 km,5 km,8 km,0 km,A,Logical Reasoning,Easy
"Pointing to a photograph, Mary said, 'He is the only son of my mother's father.' How is the man related to Mary?",Uncle,Brother,Father,Cousin,A,Logical Reasoning,Easy
Which word does not belong with the others?,Tulip,Rose,Daisy,Bud,D,Logical Reasoning,Easy
Some roses are red. All red things are beautiful. Conclusion: Some roses are beautiful. Is this conclusion valid?,Yes,No,Only if all roses are red,Cannot be determined,A,Logical Reasoning,Easy
"Find the odd one out: 4, 9, 16, 25, 35, 36.",25,16,35,36,C,Logical Reasoning,Easy
"A is taller than B, but shorter than C. D is taller than C. Who is the tallest?",A,B,C,D,D,Logical Reasoning,Easy
"If yesterday was Tuesday, what day will it be three days from today?",Friday,Saturday,Sunday,Monday,B,Logical Reasoning,Easy
"Find the missing letter: A, C, F, J, O, ?",S,T,U,V,C,Logical Reasoning,Easy
"No dogs are birds. All birds have wings. Therefore, no dogs have wings. Is this valid?","Yes, it must be true","No, dogs might have wings","Yes, dogs don't fly",Invalid because birds are not dogs,B,Logical Reasoning,Easy
"In a certain code, '123' means 'hot filtered coffee', '356' means 'very hot day', and '589' means 'day and night'. Which digit stands for 'very'?",3,5,6,9,C,Logical Reasoning,Easy
"Look at this series: 7, 10, 8, 11, 9, 12, ... What number should come next?",7,10,12,13,B,Logical Reasoning,Easy
"Which of the following logically follows: If it rains, the ground gets wet. The ground is not wet.",It rained,It did not rain,It will rain tomorrow,The ground is dry,B,Logical Reasoning,Easy
A clock shows 3:00. What is the angle between the hour and minute hands?,90 degrees,180 degrees,30 degrees,60 degrees,A,Logical Reasoning,Easy
"If 'GREEN' is 'RED', 'RED' is 'BLUE', and 'BLUE' is 'YELLOW', what is the color of human blood?",Green,Red,Blue,Yellow,C,Logical Reasoning,Easy
"SCD, TEF, UGH, ____, WKL",CMN,UJI,VIJ,IJT,C,Logical Reasoning,Easy
"There are 5 books on a shelf. A is left of B, and C is right of B. Where is B?",Between A and C,Far left,Far right,Cannot be determined,A,Logical Reasoning,Easy
"Complete the series: 36, 34, 30, 28, 24, ...",20,22,23,26,B,Logical Reasoning,Easy
"What comes next: Z, X, V, T, R, ?",P,O,Q,S,A,Logical Reasoning,Easy
All artists are creative. Some teachers are artists. Conclusion: Some teachers are creative. Valid?,Yes,No,Only if teachers are artists,None of the above,A,Logical Reasoning,Easy
"Find the missing number: 1, 8, 27, 64, ?",100,125,144,216,B,Logical Reasoning,Easy
A man is facing West. He turns 90 degrees clockwise. Which direction is he facing now?,North,South,East,North-East,A,Logical Reasoning,Easy
"If A is the brother of B; B is the sister of C; and C is the father of D, how is D related to A?",Nephew,Niece,Nephew or Niece,Brother,C,Logical Reasoning,Easy
"What is the next term in: 2, 5, 9, 14, 20, ?",25,26,27,28,C,Logical Reasoning,Easy
"If all squares are rectangles, and all rectangles are polygons, are all squares polygons?",Yes,No,Some are,Cannot determine,A,Logical Reasoning,Easy
"Identify the odd word: Table, Chair, Cupboard, Computer, Bed.",Table,Chair,Computer,Bed,C,Logical Reasoning,Easy
"If the word 'BAT' is written as '2120', how is 'CAT' written?",3120,3210,3121,3012,A,Logical Reasoning,Easy
"In a row of 20 people, John is 5th from the left. What is his position from the right?",15th,16th,14th,17th,B,Logical Reasoning,Easy
Which conclusion follows: No apples are oranges. All oranges are fruits.,No apples are fruits,Some fruits are not apples,All fruits are oranges,All apples are fruits,B,Logical Reasoning,Easy
"Next in series: 5, 10, 20, 40, ?",60,80,100,120,B,Logical Reasoning,Easy
"If dog is called cat, cat is called lion, lion is called rat, which of these is the king of the jungle?",Dog,Cat,Rat,Lion,C,Logical Reasoning,Easy
"A father is currently twice as old as his son. If the son is 20, how old is the father?",30,40,50,60,B,Logical Reasoning,Easy
What is the day before the day before yesterday if today is Monday?,Thursday,Friday,Saturday,Sunday,B,Logical Reasoning,Easy
"Choose the odd one out: 2, 3, 5, 7, 9, 11.",3,5,7,9,D,Logical Reasoning,Easy
"Look at this series: 53, 53, 40, 40, 27, 27, ... What number should come next?",12,14,27,53,B,Logical Reasoning,Easy
Sushma is older than Ram. Ram is younger than Mohan. Who is the youngest?,Sushma,Ram,Mohan,Cannot determine,B,Logical Reasoning,Easy
"If 'DO' is written as 'FQ', how is 'IN' written?",KP,KQ,LO,LP,A,Logical Reasoning,Easy
"All cars have wheels. This vehicle has wheels. Therefore, this vehicle is a car. Is the logic sound?",Yes,No,Depends on the vehicle,Only for bicycles,B,Logical Reasoning,Easy
How many 9s are immediately preceded by 3 but not immediately followed by 4 in: 394392395?,1,2,3,0,B,Logical Reasoning,Easy
"Pointing to a woman, a boy says, 'She is the sister of my father.' How is the woman related to the boy?",Mother,Aunt,Grandmother,Sister,B,Logical Reasoning,Easy
"Find the odd pair: (4, 16), (5, 25), (6, 36), (7, 48).","(4, 16)","(5, 25)","(6, 36)","(7, 48)",D,Logical Reasoning,Easy
"Next in series: B2CD, BCD4, B5CD, BC6D...",B2C2D,BC7D,BCD7,B7CD,C,Logical Reasoning,Easy
Which of the following is a leap year?,1900,2000,2002,1998,B,Logical Reasoning,Easy
Some desks are tents. Some tents are rivers. Conclusion: Some desks are rivers. Is this true?,Always true,Never true,May or may not be true,Necessarily true,C,Logical Reasoning,Easy
"If 'M' denotes 'x', 'R' denotes '/', 'T' denotes '-', and 'K' denotes '+', then 15 M 2 T 8 R 4 = ?",25,28,30,32,B,Logical Reasoning,Easy
Arrange the words in a meaningful sequence: 1. Death 2. Birth 3. Education 4. Employment.,"2, 3, 4, 1","1, 2, 3, 4","2, 4, 3, 1","3, 2, 4, 1",A,Logical Reasoning,Easy
Which is different from the rest?,Circle,Square,Triangle,Rectangle,A,Logical Reasoning,Easy
"If A=1, B=2, C=3, what does 8, 5, 12, 16 spell?",HELO,HELP,HALP,HOLD,B,Logical Reasoning,Easy
I am facing South. I turn 180 degrees. Which direction am I facing now?,North,East,West,South,A,Logical Reasoning,Easy
"A family has a man, his wife, their four sons and their wives. Every son has 3 children. How many members are in the family?",10,14,22,24,C,Logical Reasoning,Easy
"Look at this series: 21, 9, 21, 11, 21, 13, 21, ... What number should come next?",14,15,21,23,B,Logical Reasoning,Easy
"Identify the missing number: 2, 3, 5, 8, 12, ?",15,16,17,18,C,Logical Reasoning,Easy
"All birds fly. A penguin is a bird. Therefore, a penguin flies. This argument is:",Logically valid but factually false,Logically invalid,Factually true,Both valid and true,A,Logical Reasoning,Easy
"Find the odd word: Apple, Mango, Potato, Banana.",Apple,Mango,Potato,Banana,C,Logical Reasoning,Easy
"If day after tomorrow is Friday, what day was yesterday?",Monday,Tuesday,Wednesday,Thursday,B,Logical Reasoning,Easy
"Find the next string: DEF, HIJ, MNO, ?",STU,RST,TUV,QRS,A,Logical Reasoning,Easy
Which conclusion follows? All men are mortal. Socrates is a man.,Socrates is mortal,All mortals are men,Some men are not mortal,Socrates is not mortal,A,Logical Reasoning,Easy
"If 2+2=5, 3+3=7, 4+4=9, what is 5+5?",10,11,12,13,B,Logical Reasoning,Easy
Select the odd one out.,Guitar,Violin,Flute,Cello,C,Logical Reasoning,Easy
"What is the missing number? 100, 81, 64, 49, ?",36,25,16,30,A,Logical Reasoning,Easy
"If 'P' means '+', 'Q' means '*', 'R' means '/', what is 10 Q 5 P 2?",25,52,50,20,B,Logical Reasoning,Easy
Which word cannot be formed from 'MEASUREMENT'?,MASTER,MANTLE,SUMMIT,TENSE,B,Logical Reasoning,Easy
All flowers are beautiful. Some beautiful things are expensive. Can we conclude some flowers are expensive?,Yes,No,Always,None of the above,B,Logical Reasoning,Easy
"If you are 11th in a queue starting from either end, how many people are in the queue?",20,21,22,23,B,Logical Reasoning,Easy
"Look at this series: 2, 1, (1/2), (1/4), ... What number should come next?",(1/3),(1/8),(2/8),(1/16),B,Logical Reasoning,Easy
"Find the odd pair: (2, 8), (3, 27), (4, 32), (5, 125).","(2, 8)","(3, 27)","(4, 32)","(5, 125)",C,Logical Reasoning,Easy
"If blue means green, green means white, white means yellow, what is the color of milk?",White,Green,Yellow,Blue,C,Logical Reasoning,Easy
